"Nome";"Entidade";"Status";"Fabricante";"Número de série";"Tipo";"Modelo";"Localização";"Sistema operacional - Nome";"Componentes - Processador";"Componentes - Memória";"Componentes - Tamanho de disco rígido";"Última atualização";"Data de criação";
"SEDERS-MS76B05O";"RioSaudeSEDE";"Em uso";"Positivo";"5A376B05O";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2023-12-27 11:24";"2023-11-24 10:19";
"SEDERS-MS76B07Y";"RioSaudeSEDE";"Em uso";"Positivo";"5A376B07Y";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2023-11-24 11:21";"2023-11-24 11:21";
"SEDERS-MS76B13H";"RioSaudeSEDE";"Em uso";"Positivo";"5A376B13H";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2023-11-24 11:25";"2023-11-24 11:25";
"SEDERS-MS76B44V";"RioSaudeSEDE";"Em uso";"Positivo";"5A376B44V";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2024-06-14 09:28";"2023-11-24 11:55";
"SEDERS-MS76B70K";"RioSaudeSEDE";"Em uso";"Positivo";"5A376B70K";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2023-11-24 10:30";"2023-11-24 10:30";
"SEDERS-MS76B935";"RioSaudeSEDE";"Em uso";"Positivo";"5A376B935";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2023-11-24 11:17";"2023-11-24 11:17";
"SEDERS-MS76BB6Q";"RioSaudeSEDE";"Em uso";"Positivo";"5A376BB6Q";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2024-06-14 09:39";"2023-11-24 11:08";
"SEDERS-MS76BC0Z";"RioSaudeSEDE";"Em uso";"Positivo";"5A376BC0Z";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2026-01-06 09:09";"2023-11-16 16:48";
"SEDERS-MS76BD3H";"RioSaudeSEDE";"Em uso";"Positivo";"5A376BD3H";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2025-11-28 16:19";"2023-11-30 10:41";
"SEDERS-MS76BD71";"RioSaudeSEDE";"Em uso";"Positivo";"5A376BD71";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2025-08-04 08:29";"2023-12-01 14:31";
"SEDERS-MS76BG1G";"RioSaudeSEDE";"Em uso";"Positivo";"5A376BG1G";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2023-11-24 11:23";"2023-11-24 11:23";
"SEDERS-MS76BK8R";"RioSaudeSEDE";"Em uso";"Positivo";"5A376BK8R";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2026-01-06 09:09";"2023-11-21 14:03";
"SEDERS-MS76BP4M";"RioSaudeSEDE";"Em uso";"Positivo";"5A376BP4M";"Desktop";"POSITIVO MASTER D3400 ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz";"16 GB";"1024 GB";"2025-07-23 10:21";"2023-11-28 12:30";
"SEDERS-MS77C60N";"RioSaudeSEDE";"Reserva";"Positivo";"4A577C60N";"Desktop";"POSITIVO MASTER - C610 MINI PRO";"DGOVI";"Windows 10 Pro";"7th Gen Intel(R) Core(TM) i3-7100T CPU @ 3.40GH";"8 GB";"500 GB";"2025-07-22 09:55";"2023-11-23 09:52";
"SEDERS-MS78TM8L";"RioSaudeSEDE";"Fora de uso";"Positivo";"5A378TM8L";"MiniPC";"POSITIVO MASTER C6400 MINI PRO ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i3-12100t   2.20 GHz";"8 GB";"500 GB";"2024-06-13 14:24";"2023-12-08 10:46";
"SEDERS-MS78VT6A";"RioSaudeSEDE";"Em uso";"Positivo";"5A378VT6A";"MiniPC";"POSITIVO MASTER C6400 MINI PRO ROHS";"DGOVI";"Windows 10 Pro";"12th Gen Intel(R) Core(TM) i3-12100t   2.20 GHz";"8 GB";"500 GB";"2026-01-16 18:15";"2023-12-01 15:32";
