"Nome";"Entidade";"Status";"Fabricante";"Número de série";"Tipo";"Modelo";"Localização";"Sistema operacional - Nome";"Componentes - Processador";"Componentes - Memória";"Componentes - Tamanho de disco rígido";"Última atualização";"Data de criação";
"SEDERS-MS010007";"RioSaudeSEDE";"Defeito";"Daten";"01026619010007";"Desktop";"DC3A-U DATEN";"DGOVI";"Windows 11 Pro";"AMD Ryzen 3 PRO 3200GE W/Radeon Vega Graphics 3.30 GHz";"8 GB";"320 GB";"2024-06-20 10:17";"2023-11-23 14:38";
"SEDERS-MS010008";"RioSaudeSEDE";"Defeito";"Daten";"01026619010008";"MiniPC";"DC3A-U DATEN";"DGOVI";"Windows 10 Pro";"AMD Ryzen 3 PRO 3200GE W/Radeon Vega Graphics 3.30 GHz";"8 GB";"500 GB";"2024-09-03 11:44";"2023-11-23 10:04";
"SEDERS-MS010071";"RioSaudeSEDE";"Defeito";"Daten";"01027564010071";"MiniPC";"DC3A-U DATEN";"DGOVI";"Windows 10 Pro";"AMD Ryzen 5 PRO 3400GE W/Radeon Vega Graphics 3.30 GHz";"16 GB";"1024 GB";"2025-02-14 09:36";"2023-11-23 11:10";
"SEDERS-MS010109";"RioSaudeSEDE";"Defeito";"Daten";"01027564010109";"Desktop";"DC3A-U DATEN";"DGOVI";"Windows 10 Pro";"AMD Ryzen 3 PRO 3200GE W/Radeon Vega Graphics 3.30 GHz";"16 GB";"500 GB";"2026-01-16 12:18";"2023-12-13 13:14";
"SEDERS-MS010171";"RioSaudeSEDE";"Reserva";"Daten";"01037380010171";"MiniPC";"DC3A-U DATEN";"DGOVI";"";"";"";"";"2025-06-25 14:05";"2025-04-09 12:59";
"SEDERS-MS015C4M";"RioSaudeSEDE";"Fora de uso";"Positivo";"1A9015C4M";"Desktop";"MASTER";"DGOVI";"Windows 10 Pro";"Intel(R) Core(TM) i3-2120 CPU @ 3.30Ghz";"14 GB";"500 GB";"2024-10-29 11:10";"2023-12-12 16:33";
"SEDERS-MS01VC44";"RioSaudeSEDE";"Reserva";"Lenovo";"1S10AU00JYBPPPE01VC44";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-09-15 16:14";"2024-02-07 10:08";
"SEDERS-MS01WCHL";"RioSaudeSEDE";"Reserva";"Lenovo";"PE01WCHL";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-06-26 11:43";"2024-05-27 15:19";
"SEDERS-MS01WCTW";"RioSaudeSEDE";"Reserva";"Lenovo";"PE01WCTW";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 11 Pro";"";"";"";"2025-08-25 17:18";"2024-06-11 15:31";
"SEDERS-MS01WF11";"RioSaudeSEDE";"Reserva";"Lenovo";"1S10AU00JYBPPE01WF11";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-09-05 09:16";"2024-04-02 18:06";
"SEDERS-MS01WF14";"RioSaudeSEDE";"Reserva";"Lenovo";"PE01WF14";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 11 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"4 GB";"500 GB";"2026-01-06 09:57";"2023-12-13 15:09";
"SEDERS-MS01WF26";"RioSaudeSEDE";"Reserva";"Lenovo";"1S10AU00JYBPPE01WF26";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-09-05 09:17";"2024-06-06 18:32";
"SEDERS-MS01WF28";"RioSaudeSEDE";"Reserva";"Lenovo";"1S10AU00JYBPPE01WF28";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-05-05 18:07";"2024-05-13 17:51";
"SEDERS-MS01WF4V";"RioSaudeSEDE";"Reserva";"Lenovo";"PE01WF4V";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 11 Pro";"";"4 GB";"";"2025-08-25 17:18";"2024-06-11 15:29";
"SEDERS-MS01WF59";"RioSaudeSEDE";"Reserva";"Lenovo";"PE01WF59";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"";"";"";"";"2025-06-25 17:31";"2024-04-30 17:27";
"SEDERS-MS01WHTW";"RioSaudeSEDE";"Reserva";"Lenovo";"1S10AU00JYBPPE01WHTW";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-06-26 11:42";"2024-06-06 18:28";
"SEDERS-MS01WHUA";"RioSaudeSEDE";"Reserva";"Lenovo";"1S10AU03JYBPPE01WHUA";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-06-04 16:39";"2024-02-16 16:51";
"SEDERS-MS01WHUA";"RioSaudeSEDE";"Reserva";"Lenovo";"1S10AU00JYBPPE01WHUA";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-06-04 16:40";"2024-05-23 09:00";
"SEDERS-MS01WL31";"RioSaudeSEDE";"Reserva";"Lenovo";"1S10AU00JYBPPE01WL31";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-05-13 16:33";"2023-12-13 15:34";
"SEDERS-MS01X0B3";"RioSaudeSEDE";"Reserva";"Lenovo";"1S10AU00JYBPPE01X0B3";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-07-23 11:54";"2023-12-13 15:24";
"SEDERS-MS01X0SB";"RioSaudeSEDE";"Reserva";"Lenovo";"1S10AU00JYBPPE01X0SB";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"6th  Intel(R) Core(TM) i5-6500 CPU  3.20GHz";"8 GB";"500 GB";"2025-07-15 16:52";"2024-05-17 16:07";
"SEDERS-MS01X3DA";"RioSaudeSEDE";"Reserva";"Lenovo";"1S10AU00JYBPPE01X3DA";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-05-13 15:30";"2024-04-02 17:48";
"SEDERS-MS02F46Q";"RioSaudeSEDE";"Defeito";"HP";"BRG102F46Q";"Desktop";"COMPAQ - 3008 MT";"DGOVI";"Windows 10 Pro";"";"";"";"2024-06-13 14:37";"2023-12-29 12:03";
"SEDERS-MS030162";"RioSaudeSEDE";"Defeito";"Daten";"01027564030162";"Desktop";"DC3A-U DATEN";"DGOVI";"Windows 10 Pro";"AMD Ryzen 5 PRO 3400GE W/Radeon Vega Graphics 3.30 GHz";"16 GB";"1024 GB";"2025-12-10 09:33";"2023-12-12 16:49";
"SEDERS-MS19RM3F";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM3F";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-05-26 15:22";"2025-05-26 15:22";
"SEDERS-MS19RM43";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM43";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-05-26 11:03";"2025-05-26 11:03";
"SEDERS-MS19RM49";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM49";"Desktop";"HP Pro SFF 400 G9";"DGOVI > INFRAESTRUTURA E SUPORTE";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-05-28 14:02";"2025-05-27 16:47";
"SEDERS-MS19RM4G";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM4G";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-12-19 09:48";"2025-05-26 15:34";
"SEDERS-MS19RM4J";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM4J";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-05-23 10:55";"2025-05-23 10:55";
"SEDERS-MS19RM4K";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM4K";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-05-27 16:38";"2025-05-27 16:38";
"SEDERS-MS19RM4N";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM4N";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-07-16 16:37";"2025-07-16 16:37";
"SEDERS-MS19RM4P";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM4P";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-07-16 11:28";"2025-07-16 11:28";
"SEDERS-MS19RM56";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM56";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-05-26 15:36";"2025-05-26 15:36";
"SEDERS-MS19RM58";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM58";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-07-23 09:50";"2025-05-27 09:14";
"SEDERS-MS19RM5F";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM5F";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-07-23 09:51";"2025-05-27 09:12";
"SEDERS-MS19RM5W";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM5W";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-07-21 09:10";"2025-07-21 09:10";
"SEDERS-MS19RM60";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM60";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-07-16 15:34";"2025-07-16 15:34";
"SEDERS-MS19RM64";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM64";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-11-28 16:33";"2025-11-28 16:33";
"SEDERS-MS19RM6N";"RioSaudeSEDE";"Fora de uso";"HP";"BRJ519RM6N";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-12-19 09:46";"2025-07-23 11:30";
"SEDERS-MS19RM6W";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM6W";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-05-23 14:57";"2025-05-23 14:57";
"SEDERS-MS19RM7B";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM7B";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-05-22 16:11";"2024-06-14 14:31";
"SEDERS-MS19RM7H";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM7H";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-05-26 15:29";"2025-05-26 09:25";
"SEDERS-MS19RM7Q";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM7Q";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-07-23 09:48";"2025-05-27 08:54";
"SEDERS-MS19RM81";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM81";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-05-26 15:47";"2025-05-26 15:47";
"SEDERS-MS19RM8C";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM8C";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2026-01-16 18:20";"2025-05-23 11:01";
"SEDERS-MS19RM8G";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM8G";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-05-28 17:04";"2025-05-28 16:43";
"SEDERS-MS19RM8P";"RioSaudeSEDE";"Fora de uso";"HP";"BRJ519RM8P";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-12-19 09:45";"2025-06-02 11:51";
"SEDERS-MS1X211";"RioSaudeSEDE";"Em uso";"Positivo";"5A361X211";"Desktop";"POSITIVO MASTER - D3300";"DGOVI";"";"";"";"";"2024-09-09 09:07";"2024-06-13 15:45";
"SEDERS-MS260835";"RioSaudeSEDE";"Fora de uso";"Daten";"00260835";"Desktop";"";"DGOVI";"";"";"";"";"2025-07-18 15:00";"2025-02-14 09:52";
"SEDERS-MS260838";"RioSaudeSEDE";"Reserva";"Daten";"00260838";"Desktop";"";"DGOVI";"Windows 10 Pro";"";"";"";"2025-07-18 14:30";"2023-12-29 12:00";
"SEDERS-MS27ZC3R";"RioSaudeSEDE";"";"Positivo";"1A427ZC3R";"Desktop";"POS-AT K13PE";"DGOVI";"Windows 10 Pro";"Intel(R) Core(TM) i3 CPU 550 @ 3.20Ghz";"4 GB";"500 GB";"2024-06-13 14:32";"2023-12-05 16:13";
"SEDERS-MS29R653";"RioSaudeSEDE";"Em uso";"Positivo";"5A529R653";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"Windows 11 Pro";"";"";"";"2026-01-16 18:16";"2025-06-26 09:48";
"SEDERS-MS29R77G";"RioSaudeSEDE";"Em uso";"Positivo";"5A529R77G";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"8 GB";"500 GB";"2025-05-22 13:47";"2024-06-14 14:27";
"SEDERS-MS29R78L";"RioSaudeSEDE";"";"Positivo";"29R78L";"MiniPC";"";"DGOVI";"Windows 11 Pro";"";"8 GB";"";"2025-05-04 21:32";"2025-05-04 21:29";
"SEDERS-MS29R832";"RioSaudeSEDE";"Reserva";"Positivo";"5A529R832";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"8 GB";"500 GB";"2025-05-09 13:22";"2025-05-09 13:22";
"SEDERS-MS29R83Z";"RioSaudeSEDE";"Em uso";"Positivo";"5A529R83Z";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"8 GB";"500 GB";"2025-08-15 17:27";"2025-05-04 21:29";
"SEDERS-MS29R859";"RioSaudeSEDE";"Em uso";"Positivo";"5A529R859";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"8 GB";"500 GB";"2025-06-26 14:50";"2025-06-26 14:50";
"SEDERS-MS29R97M";"RioSaudeSEDE";"Em uso";"Positivo";"5A529R97M";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"8 GB";"500 GB";"2025-07-23 11:22";"2025-07-23 11:22";
"SEDERS-MS29RJ8L";"RioSaudeSEDE";"Em uso";"Positivo";"5A529RJ8L";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"8 GB";"500 GB";"2025-08-15 17:26";"2025-08-15 17:25";
"SEDERS-MS312D6G";"RioSaudeSEDE";"Reserva";"Positivo";"1A4312D6G";"Desktop";"POS-AT K13PE";"DGOVI";"Windows 10 Pro";"Intel(R) Core(TM) i3 CPU 550 @ 3.20Ghz";"8 GB";"500 GB";"2025-05-08 10:16";"2023-11-21 13:20";
"SEDERS-MS31KD86";"RioSaudeSEDE";"Em uso";"Positivo";"5A531KD86";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"8 GB";"500 GB";"2026-01-16 18:16";"2025-07-01 16:53";
"SEDERS-MS37TC62";"RioSaudeSEDE";"Reserva";"Positivo";"5A537TC62";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"";"";"";"";"2025-12-19 15:00";"2025-12-19 15:00";
"SEDERS-MS37TG2U";"RioSaudeSEDE";"Reserva";"Positivo";"5A537TG2U";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"";"";"";"";"2025-12-19 15:04";"2025-12-19 15:04";
"SEDERS-MS37V71C";"RioSaudeSEDE";"Em uso";"Positivo";"5A537V71C";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"Windows 11 Pro";"";"";"";"2026-01-16 18:22";"2025-12-19 15:40";
"SEDERS-MS37V864";"RioSaudeSEDE";"Reserva";"Positivo";"5A537V864";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"";"";"";"";"2025-12-19 15:01";"2025-12-19 15:01";
"SEDERS-MS37VB3Y";"RioSaudeSEDE";"Em uso";"Positivo";"5A537VB3Y";"MiniPC";"POS MASTER C8400 MINIPRO";"DGOVI";"Windows 11 Pro";"";"";"";"2026-01-16 18:15";"2025-12-19 15:41";
